序号,物料类别,物料名称,功能要求,关键参数要求,是否可替代,需供应商回答,适用SKU
1,主控,主控 MCU,运行手柄固件并支持有线 2.4G 蓝牙三模与多平台协议切换,需支持一键切换与配对记忆；具体型号与算力由方案商建议,是,推荐型号与单价；可提供的开发资料与技术支持范围,全部 SKU
2,无线,2.4G 无线模组,PC 与主机的 2.4G 连接,目标轮询率 1000 Hz；PC 环境延迟目标不超过 8 ms；请说明可达到的上限,是,轮询率与实测延迟；抗干扰能力；单价,全部 SKU
3,无线,蓝牙模组,手机 Switch 与 PC 的蓝牙连接,请说明蓝牙版本、可同时保留的配对数量、单次连接耗时,是,蓝牙版本；配对数量上限；连接耗时；单价,全部 SKU
4,摇杆,左摇杆模组,长期使用无可感知漂移；不使用碳膜方案,霍尔效应或 TMR；请同时提供两种方案,是,霍尔与 TMR 分别报价；功耗；寿命；供货周期,全部 SKU
5,摇杆,右摇杆模组,同左摇杆,同左摇杆,是,同左摇杆,全部 SKU
6,扳机,左扳机,霍尔效应扳机并支持键程调节,请说明键程档位与实现方式,是,键程档位；方案说明；单价,全部 SKU
7,扳机,右扳机,同左扳机,同左扳机,是,同左扳机,全部 SKU
8,按键,ABXY 按键,两年内不断触且按压力度一致,请说明按键结构与理论寿命次数,是,结构方案；寿命次数；测试标准；单价,全部 SKU
9,按键,方向键,八向输入,请说明方案与寿命,是,方案与单价,全部 SKU
10,按键,肩键 L1 与 R1,标准肩键,请说明方案与寿命,是,方案与单价,全部 SKU
11,按键,背键 4 个,可自定义映射且配置可保存 4 套,请说明实现方式及其对结构的影响,是,实现方式；对结构的影响；单价,全部 SKU
12,传感,陀螺仪,体感操作,请说明支持平台与采样率,是,支持平台；采样率；单价,全部 SKU
13,电源,电池,同时满足续航与重量要求,2.4G 连接并关闭灯效与震动条件下续航不低于 20 小时,是,容量建议；充电时间；循环寿命；单价,全部 SKU
14,配件,充电底座,手柄落座即充电且随机标配,请说明充电方式及其对整体成本的影响,是,充电方式；方案说明；单价,全部 SKU
15,结构,磁吸键帽,支持在 Switch 布局与 Xbox 布局之间更换且徒手可换,请说明磁吸结构与松紧度控制方案,是,结构方案；松紧度控制；单价,全部 SKU
16,结构,外壳与握持结构件,含模具,请说明材料与表面处理方案,是,材料与表面处理建议；模具费另见代工厂问询表,全部 SKU
17,振动,振动马达,震动反馈,请说明马达类型与数量及其对成本的影响,是,马达类型；数量；单价,全部 SKU
18,配件,USB-C 线,充电与有线连接,请说明线长与规格,否,线长与规格建议,全部 SKU
19,配件,2.4G 接收器,随机器标配,请说明外形方案,是,外形方案；单价,全部 SKU
20,包装,零售包装与说明书,标准零售包装,请说明包装方案,是,包装方案；单价,全部 SKU
21,授权,PS 授权相关硬件,支持 PS5,依授权方案确定,否,所需芯片或协议包；获取方式；成本；周期,SKU-B
22,授权,Xbox 授权相关硬件,支持 Xbox,依授权方案确定,否,所需芯片或协议包；获取方式；成本；周期,SKU-C
23,认证,MFI 相关物料,支持 Lightning 连接,依 MFI 认证要求确定,否,认证相关物料清单；成本；周期,SKU-D
