编号,品牌,型号,定位,支持平台,连接方式,参考价,币种,价格采集日,按键数,摇杆方案,扳机类型,背键,陀螺仪,震动方案,轮询率,续航小时,重量g,尺寸mm,好评关键词,差评关键词,来源编号
C01,Sony,DualSense Edge,官方旗舰竞技,PS5/PC,无线+有线,未获取,,,,可更换摇杆模块（碳膜）,键程可调,有（两组可换）,有,未获取,未获取,未获取,未获取,未获取,,,S01
C02,Microsoft,Xbox Elite Series 2,官方旗舰竞技,Xbox/PC,无线+有线,未获取,,,,可调张力摇杆（3 档，碳膜）,hair trigger 键程锁,4 个,无,未获取,未获取,40,345,未获取,,,S02
C03,Razer,Wolverine V3 Pro,国际竞技,Xbox/PC,无线+有线,未获取,,,,可换摇杆帽,未获取,有,未获取,未获取,250Hz（无线/Xbox）,未获取,未获取,未获取,,,S03
C04,8BitDo,Ultimate 2,性价比跨平台,Windows/Android,2.4G+蓝牙+有线,未获取,,,,TMR 摇杆,霍尔+非线性可切换,有（Pro 级）,6 轴（2.4G）,未获取,1000Hz（2.4G/有线）,未获取,未获取,未获取,标配充电底座,,S04
C05,8BitDo,Pro 3,跨平台复古,Switch 1&2/Windows/Apple/SteamOS/Android,2.4G+蓝牙+有线,未获取,,,,TMR 摇杆,霍尔+模式切换,有,有,未获取,未获取,未获取,未获取,未获取,ABXY 磁吸可换;Apple 官方支持,,S05
C06,飞智,八爪鱼5,国产旗舰跨平台,PC/手机/Switch,三模（含星闪）,约 510,元,2026-09-22,,霍尔摇杆,力反馈扳机,4 个,有,未获取,未获取,未获取,约 300,未获取,150Hz 小彩屏,,S06
C07,盖世小鸡,G7 Pro,Xbox 授权旗舰,Xbox/PC,无线+有线,499,元,2026-09-22,,TMR 磁变阻尼摇杆,未获取,有,未获取,未获取,未获取,未获取,未获取,未获取,微软 Xbox 授权,,S07
C08,北通,鲲鹏50（含二代）,国产旗舰跨平台,PC/手机/Switch,三模,未获取,,,,未获取,未获取,未获取,未获取,未获取,未获取,未获取,未获取,未获取,,,待采集
C09,谷粒,GuliKit KK3 Max,国产技术型跨平台,未获取,未获取,未获取,,,,未获取,未获取,未获取,未获取,未获取,未获取,未获取,未获取,未获取,,,待采集
C10,Sony,DualSense（标准版）,官方标配参照,PS5/PC,无线+有线,未获取,,,,未获取,未获取,无,有,未获取,未获取,未获取,未获取,未获取,,,待采集
C11,Nintendo,Switch 2 Pro Controller,官方标配,Switch 2,无线+有线,未获取,,,,未获取,未获取,无,有,未获取,未获取,未获取,未获取,未获取,,,待采集
C12,Microsoft,Xbox 无线控制器（Series X|S）,官方标配,Xbox/PC,无线+有线,未获取,,,,未获取,未获取,无,无,未获取,未获取,未获取,未获取,未获取,,,待采集
