受访编号,数据性质,样本组,每周时长,平台数,切换频率,手机,C4_换平台重新配对,C4_按键符号不一致,C4_一柄只能伺候一平台,C4_摇杆漂移,C4_按键失灵,C4_无线断连,C4_续航不足,C4_改键软件难用,D1a_兴趣,D1b_最吸引,D1c_怀疑点,D2_599,D2_639,D2_699,D2_799,D2_899,E3_重量上限,F1_NFC
S001,模拟,A 主机为主,3–7 小时,1 个,每月,iPhone 14 及以下,4,4,4,3,3,2,3,2,非常感兴趣,三模连接,续航,可能买,可能买,可能买,说不清,说不清,250–300g,从不用
S002,模拟,A 主机为主,14 小时以上,4 个及以上,每天多次,iPhone 15 及以后,3,2,4,4,4,4,4,4,比较感兴趣,可更换键帽布局,手感需实机验证,一定买,一定买,一定买,可能买,可能买,200g 以下,偶尔
S003,模拟,A 主机为主,14 小时以上,1 个,每周,Android,5,4,4,3,5,4,5,4,不太感兴趣,不用重新改键,授权与兼容性,一定不买,一定不买,一定不买,一定不买,一定不买,200g 以下,偶尔
S004,模拟,A 主机为主,14 小时以上,2 个,每周,iPhone 14 及以下,3,3,5,3,5,5,4,3,比较感兴趣,一键切换,授权与兼容性,一定买,一定买,可能买,可能买,可能买,200–250g,偶尔
S005,模拟,A 主机为主,7–14 小时,3 个,每天多次,iPhone 15 及以后,5,4,3,3,4,5,3,5,非常感兴趣,都不吸引,手感需实机验证,一定买,一定买,一定买,一定买,一定买,250–300g,经常
S006,模拟,A 主机为主,3–7 小时,2 个,每月,Android,4,4,5,5,3,5,5,3,说不清,一键切换,品控与耐用,一定买,一定买,一定买,一定买,可能买,250–300g,没有 Switch
S007,模拟,A 主机为主,14 小时以上,2 个,每月,iPhone 14 及以下,4,4,5,4,5,3,4,4,说不清,不用重新改键,授权与兼容性,可能买,可能买,说不清,说不清,可能不买,200–250g,没有 Switch
S008,模拟,A 主机为主,3–7 小时,2 个,每周,iPhone 15 及以后,5,2,5,3,5,5,2,4,非常不感兴趣,一键切换,品控与耐用,可能买,可能买,可能买,说不清,说不清,250–300g,偶尔
S009,模拟,A 主机为主,7–14 小时,4 个及以上,每周,iPhone 14 及以下,3,5,3,5,5,4,3,2,说不清,不用重新改键,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S010,模拟,A 主机为主,7–14 小时,4 个及以上,每月,Android,3,5,4,3,4,4,5,3,不太感兴趣,不用重新改键,授权与兼容性,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,经常
S011,模拟,A 主机为主,3–7 小时,3 个,每天,Android,2,4,3,5,4,5,4,3,比较感兴趣,不用重新改键,价格偏高,可能买,可能买,说不清,说不清,可能不买,无所谓,从不用
S012,模拟,A 主机为主,14 小时以上,3 个,每周,iPhone 15 及以后,4,2,4,4,4,3,4,4,说不清,不用重新改键,手感需实机验证,可能买,可能买,可能买,说不清,说不清,250–300g,没有 Switch
S013,模拟,A 主机为主,7–14 小时,4 个及以上,每月,iPhone 14 及以下,4,3,4,3,3,3,2,1,比较感兴趣,不用重新改键,价格偏高,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S014,模拟,A 主机为主,14 小时以上,3 个,每周,iPhone 14 及以下,3,2,5,5,3,3,3,5,比较感兴趣,可更换键帽布局,无明显怀疑,一定买,一定买,一定买,一定买,可能买,200–250g,没有 Switch
S015,模拟,A 主机为主,14 小时以上,2 个,每周,Android,5,4,5,2,4,3,4,3,非常感兴趣,充电底座,续航,一定买,一定买,可能买,可能买,可能买,250–300g,没有 Switch
S016,模拟,A 主机为主,3–7 小时,2 个,每天,iPhone 15 及以后,4,4,4,5,4,3,3,4,比较感兴趣,一键切换,手感需实机验证,一定买,可能买,可能买,可能买,说不清,250–300g,没有 Switch
S017,模拟,A 主机为主,7–14 小时,4 个及以上,每天,iPhone 15 及以后,3,3,5,3,4,5,4,4,比较感兴趣,一键切换,续航,一定买,可能买,可能买,可能买,可能买,250–300g,没有 Switch
S018,模拟,A 主机为主,3–7 小时,4 个及以上,每周,iPhone 15 及以后,1,4,5,4,4,4,4,4,不太感兴趣,不用重新改键,价格偏高,可能买,说不清,可能不买,可能不买,可能不买,250–300g,没有 Switch
